id,ordtyr,ordlyr,ord2yr,ord3yr,ordhist,sprord,sumord,fallord,winord,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
9520,1,1,1,1,3,43,26,29,48,1,1,1,2,6,21,0,0,1,3,0,6,1,0,0,2,1,0,1,4,52,3,19,1,0,8,3,8,1,0
9539,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9580,1,1,0,1,2,2,16,9,2,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,11,5,1,1,0,0,1,0,0,1,0
9695,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
9989,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10006,0,1,1,1,1,1,3,6,5,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0
11177,0,0,0,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
11282,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
12033,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12955,1,1,1,1,4,8,11,2,16,0,0,0,0,0,0,1,2,1,0,0,12,5,0,0,7,1,1,0,5,1,0,0,0,0,1,0,0,0,0
13994,0,0,0,1,0,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
14010,1,1,0,0,0,2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
14176,1,1,1,1,4,6,14,12,21,1,0,3,1,0,3,0,0,3,1,0,8,11,0,2,2,0,2,0,4,6,1,1,0,0,3,0,0,0,1
14508,0,0,0,0,3,0,5,4,9,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,3,1,3,0,0
14745,0,1,1,1,2,4,7,7,3,0,0,0,0,1,3,0,0,7,0,0,3,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0
14834,0,0,0,0,3,2,0,6,3,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0
15253,1,1,1,1,2,36,11,15,16,2,0,1,1,3,9,0,1,0,0,0,4,0,2,0,2,0,0,0,1,47,0,0,0,0,3,0,2,0,0
15750,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16276,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
16470,1,1,1,1,3,12,19,3,7,0,0,0,0,1,3,0,1,3,0,0,21,2,0,0,3,0,0,0,2,0,0,4,0,0,0,0,0,1,0
16667,0,0,1,1,0,12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
